id,citation,license,retracted,full_text_format,full_text_href,cdr_url,has_fileset
PMC11913238,Obstet Gynecol. 2025 Apr 27; 145(4):377-385,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/b2/02/PMC11913238.tar.gz,,
PMC11912833,Genetics. 2025 Mar 6; 229(3):iyaf027,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/a6/80/PMC11912833.tar.gz,,
PMC11912826,Genetics. 2025 Feb 5; 229(3):iyae223,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/b1/6d/PMC11912826.tar.gz,,
PMC11912439,Protein Sci. 2025 Mar 17; 34(4):e70062,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/4a/15/PMC11912439.tar.gz,,
PMC11912382,Proc Natl Acad Sci U S A.; 122(10):e2421155122,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/dd/c8/PMC11912382.tar.gz,,
PMC11911701,BMJ Public Health. 2025 Mar 13; 3(1):e001671,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/16/a7/PMC11911701.tar.gz,,
PMC11911287,Neurogastroenterol Motil. 2025 Mar 30; 37(3):e14926,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/d7/86/PMC11911287.tar.gz,,
PMC11909753,Osteoarthr Cartil Open. 2025 Feb 22; 7(2):100588,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/2f/11/PMC11909753.tar.gz,,
PMC11909140,Nat Commun. 2025 Mar 15; 16:2545,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/95/cd/PMC11909140.tar.gz,,
PMC11908602,Prev Med Rep. 2025 Feb 15; 51:103005,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/88/a2/PMC11908602.tar.gz,,
PMC11907481,iScience. 2025 Feb 6; 28(3):111963,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/91/96/PMC11907481.tar.gz,,
PMC11907440,JTO Clin Res Rep. 2025 Jan 7; 6(4):100787,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/56/5f/PMC11907440.tar.gz,,
PMC11907019,BMJ Glob Health. 2025 Mar 13; 10(3):e017786,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/64/11/PMC11907019.tar.gz,,
PMC11909629,Health Aff Sch. 2025 Mar 17; 3(3):qxae170,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/cf/10/PMC11909629.tar.gz,,
PMC11907447,Blood Adv. 2024 Nov 1; 9(5):955-965,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/b9/3f/PMC11907447.tar.gz,,
PMC11906983,BMJ Open Sport Exerc Med. 2025 Mar 13; 11(1):e002107,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/c5/c0/PMC11906983.tar.gz,,
PMC11906898,Nat Commun. 2025 Mar 13; 16:2518,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/f7/6d/PMC11906898.tar.gz,,
PMC11906160,eLife.; 13:RP100611,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/13/ef/PMC11906160.tar.gz,,
PMC11904430,Cancer Med. 2025 Mar 13; 14(6):e70456,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/74/4f/PMC11904430.tar.gz,,
PMC11905033,Womens Health (Lond). 2025 Mar 12; 21:17455057251325977,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/ac/24/PMC11905033.tar.gz,,
PMC11904716,JAMA Netw Open. 2025 Mar 12; 8(3):e250535,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/07/18/PMC11904716.tar.gz,,
PMC11904708,JAMA Netw Open. 2025 Mar 12; 8(3):e250614,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/3c/ea/PMC11904708.tar.gz,,
PMC11899756,Addict Biol. 2025 Mar 12; 30(3):e70029,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/14/da/PMC11899756.tar.gz,,
PMC11898241,Integr Cancer Ther. 2025 Mar 12; 24:15347354251324912,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/6c/cb/PMC11898241.tar.gz,,
PMC11897902,Plant Direct. 2025 Mar 12; 9(3):e70048,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/59/18/PMC11897902.tar.gz,,
PMC11897843,JAMA Netw Open. 2025 Mar 11; 8(3):e250814,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/a4/a3/PMC11897843.tar.gz,,
PMC11896887,Clin Transl Med. 2025 Mar 11; 15(3):e70267,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/4b/2f/PMC11896887.tar.gz,,
PMC11895266,BMC Geriatr. 2025 Mar 11; 25:166,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/96/97/PMC11895266.tar.gz,,
PMC11893976,Immunohorizons. 2025 Mar 11; 9(4):vlaf008,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/f7/3b/PMC11893976.tar.gz,,
PMC11894483,JAMA Netw Open. 2025 Mar 10; 8(3):e250128,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/34/a3/PMC11894483.tar.gz,,
PMC11894482,JAMA Netw Open. 2025 Mar 10; 8(3):e2461729,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/e4/77/PMC11894482.tar.gz,,
PMC11894133,Nat Commun. 2025 Mar 10; 16:2356,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/9b/c2/PMC11894133.tar.gz,,
PMC11892216,BMC Zool. 2025 Mar 10; 10:7,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/00/c6/PMC11892216.tar.gz,,
PMC11891444,Soc Cogn Affect Neurosci. 2025 Mar 8; 20(1):nsaf018,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/c5/c5/PMC11891444.tar.gz,,
PMC11890755,Commun Biol. 2025 Mar 8; 8:392,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/e7/30/PMC11890755.tar.gz,,
PMC11890565,NPJ Breast Cancer. 2025 Mar 8; 11:24,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/e5/4d/PMC11890565.tar.gz,,
PMC11890533,BMC Med Educ. 2025 Mar 8; 25:352,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/e5/6e/PMC11890533.tar.gz,,
PMC11889904,Respir Res. 2025 Mar 8; 26:90,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/a5/d2/PMC11889904.tar.gz,,
PMC11889134,Commun Biol. 2025 Mar 8; 8:390,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/a8/10/PMC11889134.tar.gz,,
PMC11888975,OTA Int. 2025 Mar 7; 8(2):e387,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/c9/e4/PMC11888975.tar.gz,,
PMC11888137,PLoS One. 2025 Mar 7; 20(3):e0319339,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/5f/93/PMC11888137.tar.gz,,
PMC11885532,Sci Rep. 2025 Mar 7; 15:7943,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/e4/32/PMC11885532.tar.gz,,
PMC11886727,JAMA Netw Open. 2025 Mar 6; 8(3):e250160,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/e4/46/PMC11886727.tar.gz,,
PMC11885412,Clin Transl Sci. 2025 Mar 6; 18(3):e70178,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/67/fc/PMC11885412.tar.gz,,
PMC11884826,PLoS Pathog. 2025 Mar 6; 21(3):e1012898,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/84/79/PMC11884826.tar.gz,,
PMC11884183,Int J Ment Health Syst. 2025 Mar 6; 19:8,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/cb/8b/PMC11884183.tar.gz,,
PMC11882969,Nat Commun. 2025 Mar 6; 16:2237,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/ef/e4/PMC11882969.tar.gz,,
PMC11891488,J Hepatocell Carcinoma. 2025 Mar 5; 12:497-511,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/2f/8b/PMC11891488.tar.gz,,
PMC11884066,Reprod Health. 2025 Mar 5; 22:33,,,tgz,ftp://ftp.ncbi.nlm.nih.gov/pub/pmc/89/b2/PMC11884066.tar.gz,,
