original_affiliation,new_affiliation,move_to_other_affiliation?
University of North Carolina at Chapel Hill. Library,University of North Carolina at Chapel Hill. University Libraries,False
Department of Economics and Curriculum for the Environment and Ecology; University of North Carolina at Chapel Hill,Department of Economics,False
Marsico Lung Institute,Marsico Lung Institute/UNC Cystic Fibrosis Center,False
ineberger Comprehensive Cancer Center,UNC Lineberger Comprehensive Cancer Center,False
Department of Biochemistry and Molecular Pharmacology,n/a,True
Cincinnati Childrens Hospital Medical Center,n/a,True
Colorado School of Public Health,n/a,True
University of Washington,n/a,True
Department of Otolaryngology and Head and Neck Surgery,n/a,True
Division of Pulmonary and Critical Care Medicine,n/a,True
Center for Health Promotion and Disease Prevention,n/a,True
Center for Functional GI and Motility Disorders,n/a,True
"n        From the Epidemiology Branch, National Institute of Environmental Health Sciences, National Institutes of Health, Department of Health and Human Services, Research Triangle Park, NC (HK and SJL); the Departments of Nutrition and Epidemiology (JS) and the Department of Epidemiology (GH and KMR), School of Public Health, the University of North Carolina at Chapel Hill, NC); and the Department of Op",n/a,True
Department of Biological Psychology; VU University Amsterdam; Amsterdam The Netherlands,n/a,True
Department of Medical Epidemiology and Biostatistics; Karolinska Institute; Stockholm Sweden,n/a,True
Department of Psychology and Neuroscience; University of Colorado at Boulder; Boulder Colorado,n/a,True
"MRC Social Genetic & Developmental Psychiatry Centre; Institute of Psychiatry, King's College London; London United Kingdom",n/a,True
Stanley Center for Psychiatric Research; Broad Institute of MIT and Harvard; Cambridge Massachusetts,n/a,True
"The University of Queensland, Queensland Brain Institute; Brisbane Australia",n/a,True
"National Hospice and Palliative Care Organization, Alexandria, VA",n/a,True
"RTI International, Research Triangle Park, NC",n/a,True
"University of North Carolina at Chapel Hill, Chapel Hill, NC",University of North Carolina at Chapel Hill,False
"Chatham Social Health Council, Pittsboro, North Carolina",n/a,True
"Department of Health Behavior and Health Education, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina",Department of Health Behavior,False
"Department of Health Behavior and Health Education, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina, Orange County Health Department, United Voices of Efland, Hillsborough, North Carolina",Department of Health Behavior,False
"Department of Nutrition, University of North Carolina at Chapel Hill, Chapel Hill, North Carolina",Department of Nutrition,False
"San Diego State University, Graduate School of Public Health, Center for Behavioral and Community Health Studies, San Diego, California, ",n/a,True
"Section on Society and Health, Department of Social Sciences and Health Policy, Division of Public Health Sciences, Maya Angelou Research Center on Minority Health, and Section on Infectious Diseases, Department of Internal Medicine, Medical Center Boulevard, Wake Forest University Health Sciences, Winston-Salem, North Carolina",n/a,True
"Strengthening The Black Family, Inc., Raleigh, North Carolina",n/a,True
"University of North Carolina, Chapel Hill, NC, USA",University of North Carolina at Chapel Hill,False
"University of North Carolina, Chapel Hill, NC, USA, ",University of North Carolina at Chapel Hill,False
"UNC Gillings School of Global Public Health, Chapel Hill, NC, USA",Gillings School of Global Public Health,False
"UNC Gillings School of Global Public Health, Chapel Hill, NC, USA, ",Gillings School of Global Public Health,False
"UNC Gillings School of Global Public Health, Chapel Hill, NC, USA, Lineberger Comprehensive Cancer Center, Chapel Hill, NC, USA",UNC Lineberger Comprehensive Cancer Center|Gillings School of Global Public Health,False
"Duke University, Durham, NC, USA",n/a,True
"University of Alabama Birmingham, Birmingham, AL, USA",n/a,True
"University of Mississippi Medical Center, Jackson, MS, USA",n/a,True
"University of Mississippi Medical Center, Jackson, MS, USA, Jackson State University, Jackson, MS, USA, Duke University, Durham, NC, USA, ",n/a,True
"University of North Carolina at Chapel Hill, Chapel Hill, NC, USA",University of North Carolina at Chapel Hill,False
"University of South Alabama, Mobile, AL, USA",n/a,True
"Wake Forest University School of Medicine, Winston-Salem, NC, USA",n/a,True
"University of Iowa, Iowa City, IA, USA",n/a,True
"University of North Carolina–Chapel Hill, Chapel Hill, NC, USA",University of North Carolina at Chapel Hill,False
"Wake Forest University, Winston-Salem, NC, USA",n/a,True
"North Carolina Central University, Durham, NC, USA",n/a,True
"Case Western Reserve University–Metro Health Medical Center, Cleveland, Ohio",n/a,True
"Columbia University, New York, New York",n/a,True
"Department of Obstetrics and Gynecology at the Oregon Health and Science University, Portland, Oregon",n/a,True
"Drexel University, Philadelphia, Pennsylvania",n/a,True
"Northwestern University, Chicago, Illinois",n/a,True
"The George Washington University Biostatistics Center, Washington, District of Columbia",n/a,True
"The Ohio State University, Columbus, Ohio",n/a,True
"The University of Texas Health Science Center at Houston, Houston, Texas",n/a,True
"University of Alabama at Birmingham, Birmingham, Alabama",n/a,True
"University of North Carolina at Chapel Hill, Chapel Hill, North Carolina",University of North Carolina at Chapel Hill,False
"University of Pittsburgh, Pittsburgh, Pennsylvania",n/a,True
"University of Texas Southwestern Medical Center, Dallas, Texas",n/a,True
"University of Utah, Salt Lake City, Utah",n/a,True
"Wake Forest University Health Sciences, Winston-Salem, North Carolina",n/a,True
"Wayne State University, Detroit, Michigan",n/a,True
"Department of Obstetrics and Gynecology, Penn State University College of Medicine;",n/a,True
"Division of Biostatistics, Department of Public Health Sciences, Penn State College for Medicine, Hershey, Pennsylvania.",n/a,True
"Division of Maternal Fetal Medicine, Department of Obstetrics and Gynecology, University of North Carolina School of Medicine, Chapel Hill, North Carolina;",Department of Obstetrics and Gynecology,False
"Bethesda, Maryland",n/a,True
"Case Western Reserve University-MetroHealth Medical Center, Cleveland, Ohio",n/a,True
"Department of Obstetrics and Gynecology, Wayne State University, Detroit, Michigan",n/a,True
"The Department of Obstetrics and Gynecology, Northwestern University, Chicago, Illinois",n/a,True
"Thomas Jefferson University, Philadelphia, Pennsylvania",n/a,True
"University of Alabama at Birmingham, Alabama",n/a,True
"University of Miami, Miami, Florida",n/a,True
"University of Tennessee, Memphis, Tennessee",n/a,True
"Department of Obstetrics and Gynecology at University of Texas Medical Branch, Galveston, Texas",n/a,True
"Oregon Health & Science University, Portland, Oregon",n/a,True
"The George Washington University Biostatistics Center, Washington, DC",n/a,True
"The University of Texas Southwestern Medical Center, Dallas, Texas",n/a,True
"Department of Obstetrics and Gynecology, Case Western Reserve University-MetroHealth Medical Center, Cleveland, Ohio",n/a,True
"Department of Obstetrics and Gynecology, Columbia University, New York",n/a,True
"Department of Obstetrics and Gynecology, Drexel University, Philadelphia, Pennsylvania",n/a,True
"Department of Obstetrics and Gynecology, Northwestern University, Chicago, Illinois",n/a,True
"Department of Obstetrics and Gynecology, The Ohio State University, Columbus, Ohio",n/a,True
"Department of Obstetrics and Gynecology, University of Alabama at Birmingham, Birmingham, Alabama",n/a,True
"Department of Obstetrics and Gynecology, University of North Carolina at Chapel Hill, Chapel Hill",Department of Obstetrics and Gynecology,False
"Department of Obstetrics and Gynecology, University of Pittsburgh, Pittsburgh, Pennsylvania",n/a,True
"Department of Obstetrics and Gynecology, University of Texas Health Science Center at Houston, Houston, Texas",n/a,True
"Department of Obstetrics and Gynecology, University of Texas Medical Branch, Galveston, Texas",n/a,True
"Department of Obstetrics and Gynecology, University of Texas Southwestern Medical Center, Dallas, Texas",n/a,True
"Department of Obstetrics and Gynecology, University of Utah, Salt Lake City, Utah",n/a,True
"Department of Obstetrics and Gynecology, Wake Forest University Health Sciences, Winston-Salem, North Carolina",n/a,True
"Department of Obstetrics and Gynecology of the Oregon Health and Science University, Portland, Oregon",n/a,True
