affiliation_id,department_id,organizations,mapped_affiliation
60027086,110180311,University of Alabama at Birmingham; Division of Hematology and Oncology,
60032179,112667118,University of Wisconsin; Division of Hematology and Oncology,
60025111,113572331,Department of Geography; University of North Carolina at Chapel Hill,Department of Geography
60025111,104271110,Institute for the Environment; University of North Carolina at Chapel Hill,UNC Institute for the Environment
60021200,114511696,School of Ecological and Environmental Sciences; East China Normal University,
60003342,105947402,Eastern Forest Environmental Threat Assessment Center; Southern Research Station; USDA Forest Service,
60019499,106410407,Key Laboratory of Aquatic Botany and Watershed Ecology; Wuhan Botanical Garden; Chinese Academy of Sciences,
60006782,103383536,School of Soil and Water Conservation; Beijing Forestry University,
60025111,109578500,Department of Computer Science; University of North Carolina,Department of Computer Science
60029311,113197282,Department of Computer Science; University of Southern California,
60027950,118604498,Robotics Institute and National Robotics Engineering Center (NREC); Carnegie Mellon University,
60025111,113495344,Department of Epidemiology; University of North Carolina,Department of Epidemiology
60005248,108521281,School of Medicine; Johns Hopkins University,
60005248,,Johns Hopkins Berman Institute of Bioethics,
60023927,113194359,Kennedy Institute for Ethics; Department of Philosophy; Georgetown University,
60015481,108180572,University of Washington; School of Law,
112598673,,FHI360,
60019019,,Guttmacher Institute,
60030966,,Division of Reproductive Health; Centers for Disease Control and Prevention (CDC),
60015875,107855479,Centre of Primary Academic Care; University of Aberdeen,
60006385,113916984,Department of Family Medicine; Boston University School of Medicine; Boston Medical Center,
60033774,104702937,Department of Obstetrics and Gynecology; University of Zimbabwe; College of Health Sciences,
60027142,104373969,Department of Reproductive Health and Research; World Health Organization (WHO),
60032499,104656411,Statistical and Data Analysis Center; Harvard Chan School of Public Health,
60018691,112681087,Department of Immunology and Microbiology; Rush University Medical Center,
60005248,113555383,Division of Endocrinology; Diabetes; and Metabolism; Johns Hopkins University,
60000928,110105714,Division of Infectious Diseases; Emory University,
60000928,103090922,Division of Endocrinology and Metabolism and Lipids; Emory University,
60105810,,Atlanta VA Medical Center,
60017336,103899357,HIV Research Branch; Division of AIDS; National Institute of Allergy and Infectious Diseases,
60025152,113393641,Division of Infectious Diseases; University of Cincinnati,
107573116,123673091,Division of Infectious Diseases; Northwestern University,
112979478,,University of North Carolina Chapel Hill Project-China,UNC Project-China
112742628,,Guangdong Provincial Center for STD Control,
60031970,,School of Medicine; University of California,
60027142,,HIV/AIDS Department World Health Organization,
60025488,,University of Utah,
60080664,,Guangzhou Eighth People's Hospital,
60022317,104141386,Department of Psychology; Global and Community Mental Health Research Group; University of Macau,
60006183,112830250,Department of Health; Behavior and Society; Johns Hopkins Bloomberg School of Public Health,
60025111,112097522,Department of Medicine; UNC Institute for Global Health and Infectious Diseases; University of North Carolina at Chapel Hill,Department of Medicine
60025111,113669446,Department of Microbiology and Immunology; University of North Carolina at Chapel Hill,Department of Microbiology and Immunology
60008724,105355349,Department of Medicine; Division of Infectious Diseases; Duke University,
60008724,112969606,Department of Surgery; Duke University,
60005200,,Duke Human Vaccine Institute; Duke University,
60001702,,Laboratory Corporation of America,
60002214,117706985,Department of Clinical Medicine; University of San Diego,
60023691,104199091,Department of Orofacial Sciences; School of Dentistry; University of California San Francisco,
60005478,,Center for Biostatistics in AIDS Research; Harvard School of Public Health,
60025111,104269572,Department of Dental Ecology; School of Dentistry; University of North Carolina at Chapel Hill,Department of Dental Ecology
60020469,108271122,Department of Microbiology and Immunology; School of Medicine; University of North Carolina at Chapel Hill,Department of Microbiology and Immunology
60027550,104396727,Center for Clinical AIDS Research and Education; Division of Infectious Diseases; University of California Los Angeles,
60031970,100269436,Department of Medicine; School of Medicine; University of California San Francisco,
60005208,103301155,Clinical Research Unit; New Jersey Medical School,
60082111,,Social and Scientific Systems; Inc.,
60023691,104199091,Department of Orofacial Sciences; University of California San Francisco,
60025111,109944451,Department of Neurology; University of North Carolina at Chapel Hill,Department of Neurology
60009982,,Harvard University,
60001555,,Johns Hopkins Hospital,
60007363,,Northwestern University,
60082605,,Frontier Science and Technology,
60010261,112449194,Department of Biomedical Engineering; WUSTL; School of Medicine,
60010261,112970315,Department of Neurology; WUSTL; School of Medicine,
60016251,100273040,Department of Biomedical Engineering; Louisiana Tech University,
60121598,,Department of Family Medicine and Public Health; UCSD,
60023691,112941813,Department of Neurology; UCSF,
60008222,103460628,Division of Biological Chemistry; Innsbruck Medical University,
60016437,103847005,Division of Psychiatry and Neurochemistry; University of Gothenburg,
